,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
209,Moore St,Princeton Center,3,1,1,Traditional,1928,0.18,"$755,000.00","$755,000.00","$755,000.00",6/18/21,1,1
23,Wilkinson Way,Washington Oaks,4,2,1,Townhome,1993,NA,"$755,000.00","$755,000.00","$757,000.00",4/9/21,10,10
66,Pine St,Princeton Center,2,1,1,Contemp,1974,0.16,"$699,000.00","$699,000.00","$760,000.00",12/15/21,7,7
249,Ewing St,Town & Country,5,2,1,Split,1959,0.27,"$749,000.00","$749,000.00","$760,000.00",8/19/21,9,9
240,N Harrison St,Princeton Center,4,2,1,Ranch,1950,0.26,"$779,000.00","$779,000.00","$760,000.00",7/23/21,38,105
5,Queenston Pl,Princeton Center,3,1,2,Cape,1937,0.14,"$765,000.00","$765,000.00","$765,000.00",6/11/21,1,1
234,Bullock Dr,Washington Oaks,4,2,1,End Unit,19930,0.09,"$769,000.00","$769,000.00","$769,000.00",7/6/21,5,5
23,Trewbridge Ct,Fieldwood Manors,3,3,1,End Unit,2000,0.13,"$765,000.00","$765,000.00","$770,000.00",2/26/21,4,4
31,Broadripple Dr,Littlebrook,3,2,0,Split,1955,0.62,"$825,000.00","$825,000.00","$775,000.00",11/26/21,50,50
273,Hawthorne Ave,Princeton Center,3,1,1,Colonial,1940,0.21,"$775,000.00","$775,000.00","$775,000.00",10/13/21,16,16
107,Mountain Ave,Western Section,3,2,0,Victorian,1903,0.15,"$780,000.00","$780,000.00","$780,000.00",8/20/21,9,9
71,Deer Path,Littlebrook,4,2,0,Contemp,1953,0.35,"$700,000.00","$700,000.00","$780,000.00",7/8/21,7,7
261,Moore St,Princeton Center,3,3,0,Ranch,1940,0.18,"$959,000.00","$799,000.00","$780,000.00",6/22/21,296,296
167,Hamilton Ave,Princeton Center,3,2,0,Colonial,1942,0.13,"$769,000.00","$769,000.00","$780,000.00",3/18/21,8,8
123,Autumn Hill Ln,Littlebrook,3,3,0,Contemp,1960,1.87,"$780,000.00","$780,000.00","$780,000.00",2/26/21,9,9
90,Jefferson Rd,Princeton Center,4,2,1,Twin,1900,0.09,"$720,000.00","$720,000.00","$782,356.00",7/6/21,9,9
229,Mount Lucas Rd,Town & Country,3,2,0,Victorian,1925,0.28,"$799,000.00","$799,000.00","$785,250.00",4/30/21,8,8
313,Rodney Ct,Washington Oaks,4,2,1,End Unit,1993,0.09,"$785,000.00","$785,000.00","$789,000.00",4/1/21,12,12
150,Loomis Ct,Town & Country,4,2,1,Other,1954,0.33,"$789,000.00","$789,000.00","$789,000.00",1/27/21,2,2
42,Cameron Ct,Queenston Common,4,3,0,End Unit,1973,0.16,"$799,000.00","$799,000.00","$790,000.00",12/28/21,26,26
258,Hawthorne Ave,Princeton Center,4,2,0,Colonial,1939,0.2,"$750,000.00","$750,000.00","$792,258.00",1/4/21,12,12
312,N Harrison St,Princeton Center,4,2,0,Contemp,1983,0.26,"$800,000.00","$800,000.00","$800,000.00",11/8/21,9,9
406,Rosedale Rd,Rosedale Area,3,2,0,Ranch,1956,1.12,"$799,000.00","$825,000.00","$800,000.00",10/27/21,34,34
92,Gulick Rd,Littlebrook,3,1,2,Split,1954,0.48,"$825,000.00","$815,000.00","$800,000.00",8/4/21,20,20
67,Grover Ave,Littlebrook,3,2,0,Ranch,1950,0.27,"$745,000.00","$745,000.00","$800,000.00",6/25/21,8,8
74,Ross Stevenson Cir,Littlebrook,3,2,1,Colonial,1975,0.69,"$745,000.00","$745,000.00","$804,000.00",12/23/21,9,9
15,Vandeventer Ave,Princeton Center,3,2,1,Twin,1870,0.06,"$799,000.00","$799,000.00","$806,000.00",10/28/21,23,23
5,Governors Ln,Littlebrook,4,3,1,Townhome,1997,NA,"$829,000.00","$829,000.00","$810,000.00",8/20/21,9,9
140,Snowden Ln,Littlebrook,4,2,0,Cape,1949,0.21,"$825,000.00","$825,000.00","$811,175.00",7/30/21,14,14
12,Governors Ln,Littlebrook,4,3,1,Townhome,1997,NA,"$829,000.00","$829,000.00","$815,000.00",8/3/21,23,23
27,Hillside Rd,Town & Country,4,2,0,Split,1958,0.25,"$799,900.00","$799,900.00","$820,000.00",7/9/21,7,7
235,Terhune Rd,Town & Country,4,2,1,Ranch,1966,0.25,"$799,000.00","$799,000.00","$820,000.00",5/11/21,8,8
21,Harris Rd,Princeton Center,4,3,0,Cape,1948,0.18,"$850,000.00","$850,000.00","$825,000.00",9/3/21,18,18
25,Constitution Hill W,Western Section,2,2,1,Twin,1980,NA,"$875,000.00","$875,000.00","$825,000.00",8/5/21,3,3
107,Westcott Rd,Western Section,3,3,0,Ranch,1952,0.57,"$839,000.00","$839,000.00","$825,018.00",1/8/21,3,3
20,Woodland Dr,Princeton Ridge,6,3,1,Contemp,1954,0.46,"$798,500.00","$798,500.00","$826,000.00",9/16/21,23,23
6,Stonewall Cir,Princeton Ridge,3,2,1,Twin,1998,0.21,"$839,000.00","$839,000.00","$826,500.00",4/13/21,96,96
51,Chestnut St,Princeton Center,4,2,0,Colonial,1900,0.08,"$799,000.00","$799,000.00","$827,000.00",11/5/21,8,8
109,Ross Stevenson Cir,Littlebrook,5,3,0,Colonial,1976,0.65,"$825,000.00","$825,000.00","$831,700.00",9/16/21,18,18
